Zone,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Production,population_2017,PIB_2017,stabilite_politique_2017,taux_dependance_importations,balance_commerciale_quantite,PIB_par_habitant
Pays-Bas,70.0,20.33,372.0,1418.0,608.0,1100.0,17021347.0,848233537845.884,0.907123684883118,35.597189695550355,810.0,49833.51422457248
Philippines,48.0,13.87,1521.0,2.0,249.0,1272.0,105172925.0,328480736802.76,-1.18929100036621,16.370808678500985,-247.0,3123.244283666733
Pologne,107.0,30.3,1156.0,1025.0,55.0,2351.0,37953180.0,528356676667.211,0.509756147861481,2.28595178719867,970.0,13921.275547061168
Portugal,109.0,30.58,325.0,44.0,82.0,361.0,10288527.0,220862990767.229,1.10616970062256,18.510158013544018,-38.0,21466.920460745157
Pérou,62.0,13.47,1523.0,1.0,60.0,1465.0,31444298.0,211007984080.911,-0.2635098695755,3.934426229508197,-59.0,6710.5325131097225
Roumanie,66.0,19.37,381.0,69.0,146.0,392.0,19653969.0,210147385855.419,0.0485141687095165,27.137546468401485,-77.0,10692.36375896487
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,120.0,31.94,2234.0,359.0,779.0,1814.0,66727460.99999999,2699118387873.1,0.380680292844772,30.042421905129196,-420.0,40449.88895760773
Rwanda,5.0,1.49,19.0,0.0,0.0,19.0,11980961.0,9252833891.40871,0.0782710164785385,0.0,0.0,772.294801010429
République de Corée,62.0,16.7,854.0,6.0,137.0,838.0,51096415.0,1710196756713.17,0.381830722093582,14.051282051282051,-131.0,33469.99504198426
République de Moldova,55.0,16.14,66.0,0.0,16.0,54.0,4059684.0,9514404016.20949,-0.31498920917511,22.857142857142858,-16.0,2343.6316758174994
République dominicaine,123.0,35.26,375.0,6.0,42.0,339.0,10513104.0,79070274743.1658,0.152073904871941,11.023622047244094,-36.0,7521.1160037193395
Samoa,217.0,64.77,15.0,0.0,17.0,0.0,195352.0,884844384.463214,1.16163432598114,100.0,-17.0,4529.487204959325
Serbie,35.0,10.16,90.0,7.0,12.0,85.0,8829628.0,45972834713.8077,0.0833679884672165,12.371134020618557,-5.0,5206.655899184847
Sierra Leone,10.0,3.97,30.0,0.0,14.0,17.0,7488423.0,5749846528.48046,-0.0394265502691269,45.16129032258064,-14.0,767.8314283902579
Slovaquie,48.0,13.9,74.0,35.0,63.0,71.0,5447900.0,95978130734.9766,0.902731478214264,47.01492537313433,-28.0,17617.45456689304
Slovénie,83.0,24.41,52.0,29.0,20.0,72.0,2076393.9999999998,48153200134.6613,0.866365492343903,21.73913043478261,9.0,23190.781775838932
Sri Lanka,26.0,7.78,192.0,2.0,0.0,192.0,21128032.0,94369350285.5814,-0.0754480063915253,0.0,2.0,4466.547110756998
Suisse,55.0,15.72,133.0,4.0,51.0,91.0,8455804.0,695200833086.499,1.24231648445129,35.91549295774648,-47.0,82215.81686218118
Suriname,112.0,31.06,25.0,5.0,18.0,10.0,570496.0,3591679430.99988,0.11980140209198,64.28571428571429,-13.0,6295.713608859448
Suède,61.0,16.6,187.0,23.0,84.0,157.0,9904896.0,535172356784.769,0.968603014945984,34.85477178423236,-61.0,54031.09298520337
Sénégal,16.0,4.76,77.0,0.0,0.0,77.0,15419355.0,20996562943.5979,-0.0557225905358791,0.0,0.0,1361.7017666172094
